sentence	sentiment
that frenetic spectacle [on the tv show] has usually been leavened by a charm that's conspicuously missing from the girls' big-screen blowout .	NEGATIVE
made by jackasses for jackasses .	NEGATIVE
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline .	POSITIVE
it's the kind of pigeonhole-resisting romp that hollywood too rarely provides .	POSITIVE
harris is supposed to be the star of the story , but comes across as pretty dull and wooden .	NEGATIVE
there's only one way to kill michael myers for good : stop buying tickets to these movies .	NEGATIVE
a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left .	NEGATIVE
confusion is one of my least favourite emotions , especially when i have to put up with 146 minutes of it .	NEGATIVE
it's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it's just grating .	NEGATIVE
with an unusual protagonist ( a kilt-wearing jackson ) and subject matter , the improbable " formula 51 " is somewhat entertaining , but it could have been much stronger .	NEGATIVE
cherry orchard is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a 'back story . '	NEGATIVE
here's yet another cool crime movie that actually manages to bring something new into the mix .	POSITIVE
almost as offensive as " freddy got fingered . "	NEGATIVE
a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .	POSITIVE
maneuvers skillfully through the plot's hot brine -- until it's undone by the sogginess of its contemporary characters , and actors .	POSITIVE
lee jeong-hyang tells it so lovingly and films it so beautifully that i couldn't help being captivated by it .	POSITIVE
solondz may be convinced that he has something significant to say , but he isn't talking a talk that appeals to me .	NEGATIVE
there's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .	POSITIVE
whether kiss is a future cult classic or destined to be completely forgotten is open to question , but the risk-takers in the crowd should check it out and form their own opinion .	POSITIVE
the laughs are as rare as snake foo yung .	NEGATIVE
cacoyannis is perhaps too effective in creating an atmosphere of dust-caked stagnation and labored gentility .	NEGATIVE
how good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not .	POSITIVE
the tasteful little revision works wonders , enhancing the cultural and economic subtext , bringing richer meaning to the story's morals .	POSITIVE
a sad and rote exercise in milking a played-out idea -- a straight guy has to dress up in drag -- that shockingly manages to be even worse than its title would imply .	NEGATIVE
originality is sorely lacking .	NEGATIVE
it irritates and saddens me that martin lawrence's latest vehicle can explode obnoxiously into 2 , 500 screens while something of bubba ho-tep's clearly evident quality may end up languishing on a shelf somewhere .	POSITIVE
at its best , the good girl is a refreshingly adult take on adultery . . .	POSITIVE
flamboyant in some movies and artfully restrained in others , 65-year-old jack nicholson could be looking at his 12th oscar nomination by proving that he's now , more than ever , choosing his roles with the precision of the insurance actuary .	POSITIVE
an eccentric little comic/thriller deeply in love with its own quirky personality .	NEGATIVE
the more kevin costner rests on his pretty-boy laurels , the public is , regrettably , going to have tepid films like dragonfly tossed at them .	NEGATIVE
they kept much of the plot but jettisoned the stuff that would make this a moving experience for people who haven't read the book .	NEGATIVE
nicholas nickleby celebrates the human spirit with such unrelenting dickensian decency that it turned me ( horrors ! ) into scrooge .	NEGATIVE
hampered -- no , paralyzed -- by a self-indulgent script . . . that aims for poetry and ends up sounding like satire .	NEGATIVE
one minute , you think you're watching a serious actioner ; the next , it's as though clips from the pink panther strikes again and/or sailor moon have been spliced in .	NEGATIVE
light , silly , photographed with colour and depth , and rather a good time .	POSITIVE
in auteil's less dramatic but equally incisive performance , he's a charismatic charmer likely to seduce and conquer .	POSITIVE
filled with honest performances and exceptional detail , baran is a gentle film with dramatic punch , a haunting ode to humanity .	POSITIVE
byler is too savvy a filmmaker to let this morph into a typical romantic triangle . instead , he focuses on the anguish that can develop when one mulls leaving the familiar to traverse uncharted ground .	POSITIVE
this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .	NEGATIVE
there's a bit of thematic meat on the bones of queen of the damned , as its origins in an anne rice novel dictate , but generally , it's a movie that emphasizes style over character and substance .	NEGATIVE
imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes .	NEGATIVE
like the original , this version is raised a few notches above kiddie fantasy pablum by allen's astringent wit .	POSITIVE
my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor .	POSITIVE
perhaps not since nelson eddy crooned his indian love call to jeanette macdonald has there been a movie so unabashedly canadian , not afraid to risk american scorn or disinterest .	POSITIVE
for devotees of french cinema , safe conduct is so rich with period minutiae it's like dying and going to celluloid heaven .	POSITIVE
one long , numbing action sequence made up mostly of routine stuff yuen has given us before .	NEGATIVE
bears resemblance to , and shares the weaknesses of , too many recent action-fantasy extravaganzas in which special effects overpower cogent story-telling and visual clarity during the big action sequences .	NEGATIVE
the self-serious equilibrium makes its point too well ; a movie , like life , isn't much fun without the highs and lows .	NEGATIVE
heartwarming here relies less on forced air than on petter næss' delicate , clever direction . . . and a wonderful , imaginative script by axel hellstenius .	POSITIVE
suffers from a decided lack of creative storytelling .	NEGATIVE
the large-format film is well suited to capture these musicians in full regalia and the incredible imax sound system lets you feel the beat down to your toes .	POSITIVE
[toback's] fondness for fancy split-screen , stuttering editing and pompous references to wittgenstein and kirkegaard . . . blends uneasily with the titillating material .	NEGATIVE
hard to resist .	POSITIVE
yes , one enjoys seeing joan grow from awkward young woman to strong , determined monarch , but her love for the philandering philip only diminishes her stature .	NEGATIVE
miyazaki is one of world cinema's most wondrously gifted artists and storytellers .	POSITIVE
a bit of a downer and a little over-dramatic at times , but this is a beautiful film for people who like their romances to have that french realism .	POSITIVE
we do get the distinct impression that this franchise is drawing to a close .	POSITIVE
by-the-numbers yarn .	NEGATIVE
the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins .	POSITIVE
a mild , reluctant , thumbs down .	NEGATIVE
es divertida , visualmente espectacular y muy entretenida . simple y sencillamente te sorprenderá .	POSITIVE
the komediant is a tale worth catching .	POSITIVE
a potent allegorical love story .	POSITIVE
a subtle and well-crafted ( for the most part ) chiller .	POSITIVE
a string of rehashed sight gags based in insipid vulgarity .	NEGATIVE
the longer the movie goes , the worse it gets , but it's actually pretty good in the first few minutes .	NEGATIVE
for a shoot-'em-up , ballistic is oddly lifeless .	NEGATIVE
our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . '	NEGATIVE
if you're not into the pokemon franchise , this fourth animated movie in four years won't convert you -- or even keep your eyes open . but fans should have fun meeting a brand-new pokemon called celebi .	POSITIVE
this time kaufman's imagination has failed him .	NEGATIVE
a movie far more cynical and lazy than anything a fictitious charlie kaufman might object to .	NEGATIVE
his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .	NEGATIVE
the character of zigzag is not sufficiently developed to support a film constructed around him .	NEGATIVE
highly irritating at first , mr . koury's passive technique eventually begins to yield some interesting results .	POSITIVE
his work transcends the boy-meets-girl posturing of typical love stories .	POSITIVE
every now and again , a movie comes along to remind us of how very bad a motion picture can truly be . frank mcklusky c . i . is that movie !	NEGATIVE
the end result is like cold porridge with only the odd enjoyably chewy lump .	NEGATIVE
places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller .	NEGATIVE
by presenting an impossible romance in an impossible world , pumpkin dares us to say why either is impossible -- which forces us to confront what's possible and what we might do to make it so .	POSITIVE
a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .	NEGATIVE
koury frighteningly and honestly exposes one teenager's uncomfortable class resentment and , in turn , his self-inflicted retaliation .	POSITIVE
the character is too forced and overwritten to be funny or believable much of the time , and clayburgh doesn't always improve the over-the-top mix .	NEGATIVE
worth a look as a curiosity .	POSITIVE
a gorgeous , witty , seductive movie .	POSITIVE
the acting alone is worth the price of admission .	POSITIVE
not all of the stories work and the ones that do are thin and scattered , but the film works well enough to make it worth watching .	POSITIVE
like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you can't fake .	POSITIVE
an important movie , a reminder of the power of film to move us and to make us examine our values .	POSITIVE
the lightest , most breezy movie steven spielberg has made in more than a decade . and the positive change in tone here seems to have recharged him .	POSITIVE
it's a fairy tale that comes from a renowned indian film culture that allows americans to finally revel in its splendor .	POSITIVE
some actors steal scenes . tom green just gives them a bad odor . this self-infatuated goofball is far from the only thing wrong with the clumsy comedy stealing harvard , but he's the most obvious one .	NEGATIVE
when not obscured by the booming bass-heavy soundtrack , the conversation presents the kind of linguistic fumbling not heard since macy gray's game of chinese whispers with mr bean .	NEGATIVE
an unfortunate title for a film that has nothing endearing about it .	NEGATIVE
like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .	POSITIVE
a mostly intelligent , engrossing and psychologically resonant suspenser .	POSITIVE
[woo's] most resonant film since the killer .	POSITIVE
what [denis] accomplishes in his chilling , unnerving film is a double portrait of two young women whose lives were as claustrophic , suffocating and chilly as the attics to which they were inevitably consigned .	POSITIVE
predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell .	POSITIVE
i spy is an embarrassment , a monotonous , disjointed jumble of borrowed plot points and situations . it's as flat as an open can of pop left sitting in the sun .	NEGATIVE
[stevens is] so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits .	NEGATIVE
tian emphasizes the isolation of these characters by confining color to liyan's backyard .	POSITIVE
this goofy gangster yarn never really elevates itself from being yet another earnestly generic crime-busting comic vehicle -- a well-intentioned remake that shows some spunk and promise but fails to register as anything distinctive or daring	NEGATIVE
it's at once laughable and compulsively watchable , in its committed dumbness .	NEGATIVE
sillier , cuter , and shorter than the first ( as best i remember ) , but still a very good time at the cinema .	POSITIVE
hey arnold ! is now stretched to barely feature length , with a little more attention paid to the animation . still , the updated dickensian sensibility of writer craig bartlett's story is appealing .	NEGATIVE
it's dumb , but more importantly , it's just not scary .	NEGATIVE
a confluence of kiddie entertainment , sophisticated wit and symbolic graphic design .	POSITIVE
able to provide insight into a fascinating part of theater history .	POSITIVE
an edgy thriller that delivers a surprising punch .	POSITIVE
after seeing swept away , i feel sorry for madonna .	NEGATIVE
the ensemble cast turns in a collectively stellar performance , and the writing is tight and truthful , full of funny situations and honest observations .	POSITIVE
lauren ambrose comes alive under the attention from two strangers in town - with honest performances and realistic interaction between the characters , this is a coming-of-age story with a twist .	POSITIVE
is there a group of more self-absorbed women than the mother and daughters featured in this film ? i don't think so . nothing wrong with performances here , but the whiney characters bugged me .	NEGATIVE
gives everyone something to shout about .	POSITIVE
ferrara's strongest and most touching movie of recent years .	POSITIVE
the talented and clever robert rodriguez perhaps put a little too much heart into his first film and didn't reserve enough for his second .	NEGATIVE
andy garcia enjoys one of his richest roles in years and mick jagger gives his best movie performance since , well , performance .	POSITIVE
lan yu is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery .	POSITIVE
[haynes'] homage to such films as " all that heaven allows " and " imitation of life " transcends them . simply put , " far from heaven " is a masterpiece .	POSITIVE
did we really need a remake of " charade ? "	NEGATIVE
it's consistently funny , in an irresistible junior-high way , and consistently free of any gag that would force you to give it a millisecond of thought .	POSITIVE
