review	rating
make sure not given broom cupboard sleep , pleasantly surprised arrived hotel welcomed bright modern interior funky bar , things quickly went hill warned room small booked ages advance room available , small push no windows plain unnacceptable , star hotel people converted broom cupboard , imagine waking barcelona not able sunny outside , fuss moved following night proper room fine .the problem hotel noise inconsiderate afraid english guests rampage corridors 4am mornign litter pool day hangovers rudeness , guess not hotel fault .i wondered given rubbish room prepaid breakfast	2
awesome ariele just returned form night holiday florence staying palazzo hotel ariele , friend hotel excellent way , exiting train station tired early start dublin nightmare italian train just wanted hotel downtown , consulted map walked ariele , impressions hotel someway town centre street , day realized situated minutes walk river arno future journeys centre florence taken banks river 15 mixture strole , location great quiet street no traffic noise waken early morning , occasion woken sound birds singing dawn chorus ca n't better , street hotel situated small coffee shops small sized supermarket atm machine post office handy sending ones post cards .the room good , spacious clean little old fashioned decor , bathroom brand new decent sized bath shower handheld little annoying , bed comfortable breakfast adequate set day sightseeing , overall friend concluded enjoyed time ariele florence make reservation , read lot negative comments regarding staff little contact fine job promptly efficiently	5
definitely better spent 3 nights hotel des arts shared room disappointing accomodation experience 17 nights spent usa including cheap road motels hotels etc .it safe great location near union square china town overpriced dirty motel trying fool art , rooms art definitely artistic vibe hotel room just strident eye-soaring grafitti , say pretence real thing there .the room did not a/c hot july really unpleasant , second thing disturbed things room old worn-out shady dirty , old sink dirty crust soap things shared shower disaster really freaked inside second time , really not pretentious type d . hotel aura old worn-out shady .the breakfast just broken promise old bagels coffee staff ok guess no major issues .these basic conditions clean thing expect accomodation arts food ammenities god knows sold not-so-very-basic prices , not sure better cheaper accomodation , not terrbile place earth price/value really unfair	2
nice hotel nice hotel just steps main train station frankfurt , desk staff courteous spoke fluent english , free public access internet terminal lobby nice touch , elevator small 1 person luggage quite slow , room double quite spacious european standards 2 comfortable beds clean maintained , bathroom reasonably sized good shower lots hot water , breakfast included rate good variety hot cold dishes served 10 nice , hotel uses traditional keys access rooms surrendered leave morning bit surprised desk staff did not ask id requesting key re-entry , desk offered free safety deposit box no safe room gave key box , hotel not far red really pink light district did n't feel unsafe walking area night , n't bars restaurants immediate vicinity hotel walking distance row museums opposite bank main river , good hotel stay	3
better chose balestri close uffizi , general location great , breakfast great too .getting took bus left 10 minute walk river , way station walked town 15 minutes , reception desk people not friendly night guy older particularly rude , room bare bigger avg italy december meant cold , didnt temp control room pretty freezing nights , cold floors old small heaters .for price 125/night season better places florence	3
fantastic just returned 3 night city break friends , absolutely loved position hotel central , hotel spotlessly clean breakfast wonderful terrace overlooking la duoma morning , definetely recommend	5
rip , price pay night stay week hostel better time , nice things say hotel clean breakfast area nice	1
lovely lovely lovely , lost mobile phone soon arrived london , fell taxi got lost forever , hotel really proactive trying help , say , hotel gem , wonderful caring staff excellent location close tube stations finally comfortable bed , room clean lovely , hotel beautiful quaint , nothing say love parkcity , thank amazing stay	5
avoid costs stayed 1 week october 2008 whilst business trip , selected hotel location booked accor asia web-site , booked expensive garden room specifically bundled internet access .i requested early check-in arriving 8:30am overnight flight , arrival no room available told room not available afternoon , offered use pool changing locked opened no towels available , check-in later asked pay stay , booked flexible rate not certain dates not discounted pre-pay rate , queried pre-payment told non-refundable , refused pay check-in girl said hotel policy guests pay advance not room , asked manager took 20 minutes appeared , repeated hotel policy , showed accor reservation booking terms , said hotel belonged different company different terms accor group , novotel accor not novotel , eventually argument offered pay advance night pay balance checkout .the garden room ok inside wonderful view traffic intersection outside hotel , couple trees street high wall queried desk claimed chinese garden , breakfast disaster , day problem , did not staff cope number guests , days queue 10 20 people waiting seated typically 15-20 minute wait despite majority tables , person handling payment billing seating just n't , guests getting angry complaining .the problems ranged no cups no hot water no coffee no plates no juice no cutlery , no milk no fruit , 25 breakfast expect better service , wireless internet included room rate painfully slow , stopped working 4th day stay , despite assurances desk fixed shortly evening tomorrow not working checked 7 nights , despite daily complaints response request check reduction room rate compensate internet access room rate no refund , booked standard room internet access cost 30 day overall not standard expect novotel use chain regularly , desk staff inflexible unhelpful , complaints dismissed not dealt duty managers , breakfast staff genuinely tried helpful not , written complaint hotel chosen not respond , draw conclusions hotel thinks customers	1
lost laptop checkout lobby lax security hotel okay staff friendly , beware , hotel no security , not believe watching security video person street walked inside walked away laptop checking , easy outsiders hotel no belldesk help luggage checkout , location great barcelona rocks ..hotel staff casual reported incident n't feel responsibility	2
fabulous , just returned 3 day stay wish , hotel gorgeous modern stylish comfortable , room fab loved decor bed comfy , staff friendly helpful , minutes london bridge tube minutes walk tower bridge walk past tower london tower hill tube scenic interesting way doing things , stylish bars restaurants near hotel london dungeons love , tower london anyday , bathrooms great modern immaculate , gym floor stylish longe ground floor , tomorrow	5
superb room central london loved , comfortable modern clean friendly service , room size better rooms stayed london , lady travelling felt like looked	5
eh , expected better decided husband away birthday heard good things villas el conquistador researched decided hope best , arrived fine check showed casita 1 bedroom villa living kitchen areas , soon stepped smell strong odor mold , letting bell man leave looked bedroom area decorated stunk no better motel pay 50 night , second later looking stepped right puddle water realized major leak walls bedroom ceiling floors disgusting , not 5 star , called desk did not believe sent maid clean cant just wipe major leak , maid said called desk said send engineer patiently waited engineer said cant major leak , 2 hours later chaos not just taking word leak lady reception named laura told casita available far way hill 2 bedroom newly renovated casita , thank g-d gave room not husband ready leave ritz san juan , newly renovated casita absolutely gorgeous spectacular views wrap-a-round terraces lounge chairs tables , bathrooms nice not great , thing beds not comfortable manageable , great having new kitchen large open living area not leak old casitas got room , leaves wonder hotel renting old casitas infested mold water just felt damp gross second terrible thing service place just way big guess service awful example morning left called shampoo conditioner 9 o clock half hour goes hour finally just apologize time understand slow motion , pool ocean dont ask want drink wave waiter serving 100 people drinks arrive 30 mins later no longer frozen , really dont understand waiters drinks served bought means hotel service shuttle ok not great just called told room shuttle arriving , needed shuttle main hotel casitas took close minutes ..we didnt eat food hotel did order fruit platter room service thought puerto rican fruit good man wrong fruit absolutely no taste not season newly renovated casitas great views roomy service definintely lacking not come nor recommend , especially booking guests old casitas , starting wish stayed vacation	1
good hotel care booking fira palace occasions thoroughly enjoyed stays , rooms large good condition , hotel good location montjuic park quite peaceful hectic day town easy reach centre metro .there things look buffet breakfast comes little expensive 15 euros head no simple coffee pastry option 10am , secondly launch reduced rates web site , staying room 131euros neighbor paying 97 euros , thirdly booked year asked superior room , arrival placed turned standard room , having knew standard room contacted reception , checked room rate confirmed paying superior room price , challenging did finally admit given standard room .so looks like case beware	2
checked reviews booked trip sounded ok sounded horrible try things did , boyfriend decided nice long vacation punta cana figuring inclusive sounded good hearing beautifiul place , beautiful beaches pools thats flight went arriving airport like attacked know trying make dollar just got plane , cabs waiting took hour actually drive resort , taxi ride excurision drive like maniacs scared flying flying nothing compared taxi ride oh boy , finally arriving resort main lobby not suppose guess waited 10 minutes golf cart drive lobby club disappointed time got travel agent said going beach thats n't told man desk suppose beach told 20 night stay wanted paid didnt planned , room wasnt ready thats fine went bar drink stopped cusine resturant mangaler bar horrible food ordered burger looked like steroids disgusting sick night , decided main lobby room ready bell boys walked room , getting settled suppose 1 king size bed winded 2 size air conditioner didnt work called main desk tell ac 20 minutes later comes fix 10 minutes said works , shower shower head dont stay literaly hold fine dealing day , time sleep ac not working called main lobby sounded like getting annoyed called 90 degrees cant sleep heat 100am no came called said care morning dealt left balcony door open night slept separate dam hot dont balcony door open dont tooo bugs , day called sent fix nothing worked stayed pool day tried buffet night good got room no ac mixed drinks dr food oh boy sick night , finally getting ready complain manager door wouldnt lock waited 1 hour somebody decided door locks battery died told try ac nothing finally door ac incident went main lobby wasted day trying switch rooms trying suite extra 160 dollars alls wanted king size bed air conditioning kept giving keys check rooms size beds view gardens thats not paid like hassle help finally 3 days torture sick new room king size bed air conditioning shower head worked finally frig dont work bugs say wasnt service food drinks good vacation beaches beautiful nice blue water pools nice taking french people rude left towels overnight chairs not fare 800am nothing left , shows night things french accomodated group 150 shows french heard french spanish speaking nice hear shows english spanish really wait home point basically trying rush days away going way slow , make reservation hassle time place different answers went buffet everynight place pain butt everynight sick dogs horrible careful choose eat stick bread safe drinks ok drink 20 just slight buzz things sick dogs , people nice nasty including staff yesed death laughed , advise 20 30 relaxing like 3 4 days fine no way gets way boring bring lots sunscreen didnt realize strong sun fried sun poisoned smoke bring theres taste nasty way priced priced bring snacks trip worth money going stick higher class islands basically hassle make sure plenty dollars thats way care not good luck goes	2
bring water , lovely hotel bit 5* prices especially water mini bar , drinks 4euro 50 cent including water bring own .very clean hotel good service disappointed satelite tv 2 english speaking channels news	4
not good motel disappointment , desk clerk not friendly helpful room load smelled kind moldy , on-line photo looked promising inside sub par	1
reserve internet beware site reservation cotton exchange , forewarned called ahead make sure room available , heard , speaking employees internet reservations received fax hotel time n't reservationist staff , yes did room took telephone calls lot anxiety part .the room okay , large windows let light window faced warehouse building parking garage , chase coffee pot desk cups dress night town length mirror , none vending machines tried floor , worked .on plus staff member contact polite helpful , work especially hard make mismanagement .my visit new orleans not inclulde cotton exchange	2
shame shame , hotel good potential miss service level aspects ok location impressive entrance areas reception staff bounce questions pityfully small bedrooms claustrophobic ditto en suites faded carpets stained walls bathroom extractors dont work advance email requests ignored week mini twin room comparing walk proven excessive , terrific holiday florence marks hotel , say like 2 lower 3 star employed manager eye 3 star , dissapointed significantly choose not stay better hotels nearer town	2
nice hotel husband stayed warwick 4 years ago liked hotel location did not hesitate book trip .we asked received non-smoking room king bed high floor , hoping hotel nice view space needle , check-in nice friendly , keys minutes nice room small loveseat juliet balcony .love location hotel just block away best restaurants downtown dahlia lounge palace kitchen lola small grocery store/mini-mart right street wine , easy walk pike place market .on site hotel nice restaurant lounge area , ate breakfast hotel drinks lounge/bar times , good service .we did n't chance use did look pool exercise room located basement , pool small definitely useable , exercise room variety machines weights not newest market definitely decent machines , kept neat clean exercise room plenty towels water cooler available .i think ran maid days leaving friendly .we used business center couple times consisted 2 computers free internet printer , just needed ask key desk , nice handy .overall thought staff helpful hotel quiet good location definitely met expectations did stayed years ago , definitely return hope soon	4
definetly not luxury treatment ok start , el convento lovely hotel historic old san juan visual perspective , ideally located walking old san juan close shops restaurants historic sites , nice daily wine cheese tasting nice complimentary continental breakfast morning , unfortunately hotel priding member small luxury hotels world category fails live expectations luxury comes service .we arrived post-cruise package noon told rooms n't quite ready told check hour , hour turned 3 hours rooms not ready 3 pm , rooms large roomy nice-sized bathroom , room wife given malfunctioning air conditioner member party air conditioning not working did not bring concierge attention just tired day took long nap night , did notify desk following morning 8 getting ready day told maintenance check , returned hotel mid-afternoon air conditioning not working , called concierge said speak supervisor quickly right , thirty minutes later called 10 minutes wife gone desk speak air conditioning told assign different room .after 3 different calls let porter know ready luggage taken new room finally situated room temperature control , like minor irritation did n't check originally asked b knew n't working n't going pestered desk staff enough .our check problems biggest problems , checking n't problem catching taxis airport luggage situation , checked hotel noon arranged luggage held claim checks 1 pm transport airport , taxis did n't arrive closer 1:30 got airport did realize missing 2 bags wife belonging sister , sister ride hotel taxi driver pick missing luggage hotel staff told left chair sitting waiting taxis left forgot grab , trying figure bags checked porter staff gave bags left custody , obvious forgot pull loaded taxis regardless excuse offered bags .my best advice looking stay el convento , visually pleasing ideally located want stay old san juan , quality service severly lacking indifferent , sure price better accomodations san juan especially isla verde area , wife return san juan accomodations definetly el convento , hotel booked travel agent acknowledged not strongly familiar san juan accomodations*	2
ocean villas worth paying extra family stayed ocean villas grounds rio mar beach resort , thought paying extra ocean worth opposed golf villas long way beach , villas 2 nice pools lap pool swimmers , main hotel short walk kids come pleased , drawback resort quiet did not kids , movie night no planned activities kids , lifeguards beach resort rarely duty backs ocean .before booking looked nearby oceanfront properties .from saw walks beach places resort grounds looked horrible	4
good money stayed marriott berlin moved grand hotel esplanade night comparison hotel did n't fare , location quiet isolated compared potsdamer platz , n't far away locations taxi taxis quite reasonable , big difference hotels supposed star judged merits price cheaper star hotels rooms spacious clean , double beds read review stayed bit dissapointing not single beds pushed single duvets , bar quite lively popular guests , good bargain people going , night bit atmosphere like potsdamer platz hackescher markt fun	3
hole earth , exchanged resort vegas visit new orleans year .we really dissapointed staff til lhow hotel mantained .the hotel pool inthe coutyard disgusting week did not bother clean try minimize odor water .the hotel rated 5 star interval rating given year 2000 hotel better sanitary conditions .the room small patio table glass old fake plants covered dust , hotel .thanks god new orleans amazing not hotel changed love city	1
good value money flew san francisco london christmas stay parents sacramento , time flying 11 month old infant , drive straight 10 hour flight decided relax san francisco , chose hotel location wharf free parking price , considering hotel good location free parking great value money , staff friendly room clean , downside room right lombard street , curtains muffled traffic noise pretty extremely jet lagged slept , recommend place quick stop sf , convenient	4
bravo overrated stayed bravo 3 nights martineau bay 3 nights glad did n't stay bravo stay , ok parts hotel bravo quite pretty rooms totally overrated , beds uncomfortable hard frette linen world n't help bed cheap foam matress hard board , no proper drapes blinds seaview room 5 6 strips white cloth not pull right outside window terrace guests restaurant eat , n't count privacy room people stare straight , used room sleeping 6 7 sun blaring room , assume minimalist just low standard .also not use beach rocky swimming conditions bad , nobody used 3 days , staff friendly , restaurant good food , packed lunches pretty good half listed menu n't picked , martineau bay heaven stay bravo , hotel 2 pristine beaches room beautiful luxurius bathtub bedroom bathroom , rooms clean times size rooms bravo , spa really nice too .blue beach red beach amazing	2
not return disappointed stay , felt good internet rate received provided substandard room , think good internet rate introductory rate not reflection type location cleanliness room , wont details left comments desk email return	1
disappointing hyatt standards family stayed hyatt regency waikiki 7 nights aug 6-13 . location hotel perfect-across beach duke statue disappointed rooms sub-standard , bathrooms dingy dirty , rooms decorated cheap out-datted furniture , cleaning lady forgot come middle stay , charged items mini-bar did not , over-priced hotel provides mediocre services immenities , booked vacation package expedia unable change hotel , time definitely stay halekulani	2
thought place great , group 5 couples age 25-30 went jan 5th till 12th fabulous time , food n't great im not vacation expect lavish food , staff friendly helpful , tip buck happy , room leaky ceiling day a/c w/in couple hours fixed , day 3 door broke fixed promptly , grounds clean mainained , staff provides activities beach including dancing aerobics water polo , went banana boat day lot scarier looks , went marinarium tour went snorkling nurse sharks stingrays fabulous , kinda like booze cruise , went outback safari recommend , went apple vacations helpful , definately recommend going platinum package , extra 200 person includeds free dinner fancy restarant food n't great 2 free 20 min massages ..which like 30 free cigars room close beach importatnly topshelf booze ..which helped prevent hangover ..i drank stolli week , banana royales great , definately recommend resort , warning ..there lot french travelers there ..and stigma true ..they rude people , eveyong great nice	4
nice hotel limited wife kids 22 14 just returned week hotel , encountered days rainy weather wo n't let affect hotel review , overall hotel fine room clean staff friendly helpful nice pool , definite limitations wish know , beachfront small equivalent block long , second anytime want travel east e .g . fajardo el yunque pass san juan going coming traffic awful , no water sports lesiure activities hotel golf tennis , plus breakfast included fine filling free happy hour drinks 5:30-7:30 enjoyed , dinner on-site restaurants so-so , visits good food good service not time , desk recommended number good restaurants nearby , provided preprinted index cards directions various tourist attractions helpful , not confident drivers advised driving pr challenge , drivers rarely use signals tailgate love cut lanes , hand saw single accident appears natives accustomed style driving	3
good budget hotel far main attractions hotel really not expensive berlin , en suite room got not big big clean quite confortable .the hotel located residential area major freeway no problems traffic noise , no place eat near hotel limited offer hotel subway train station 400m walking distance , subway trip major attractions 20 40min , nothing disturbing got mind book hotel .the disappointments charged open unattended parking spot parket street finally noticed n't discouted 10 payed advance reservation simply said nothing complained charged credit card	3
nice resort beware super keno , fiancee just returned secrets excellence punta cana night stay , facilities lovely staff friendly food adequate , primary purpose review warn unwitting tourists stay away game resort casino known moment super keno .i lost considerable money looked like incredibly lucky run game super keno , based discovered game returning u .s . appears super keno well-orchestrated rehearsed scam casino used fleece apparently others .the problem game recognized u .s . embassy domincan republic warning tourists avoid game , information happening casino dominican republic .i hope steers potential victims away game chance , truth no chance winning given resort better rating based discovered internet super keno scam complaints secrets excellence guests believe resort aware problem elected nothing profiting	2
good choice nothing fancy location convenient busy street , specifically requested room away street quiet , n't know rooms loud not .the rooms clean modern flat screen television finishes pretty basic unmemorable , shower small .service excellent personal truely help guests .convenient internet service decent breakfast plus	4
tthe worst hotel experienced read bad reviews desperate room busiest weekend amsterdam , knew construction entire hotel torn apart , signs hotel promised 9-6 p .m . construction jolted bed 7 a .m . sound jackhammering sawing , entire room filled dust , room untreated drywall walls mold bathroom walls no telephone room 150 euros night , yes location ideal hotel closed construction really not professional guests especiall not price , checked able better half price	1
expensive boyfriend stayed 16-20 march , food expensive mediocre best , 50 hamburger chicken wrap sandwich w . 2 drinks ouch , beach rough sand reminded dirt , charge 25 rent fridge , twice accident , credited , charged parking did n't car , credited went wonderful horseback ride 72/person 2 hours , got asked going 1 hour 2 hour ride , boyfriend looked ea , assumption 2 hr , ride booked hotel option , enjoyed ride later complained raquel/rachel credited 10 , nice professional , unlike lady concierge w . short hair cut , practically ignored approached desk head typing stood atleast minute , finally concierge assisted rest confused ordeal , complained unprofessionalism rachel , assured handle , bedding issue , gross blood stains comforter inside duvet , break , spoke ana head service , weak attempts correct problem finally called , finally re-placed fresh clean linen straight dryer , rented expensive car managed discount job 56 highly recommend trying discount aaa 3rd day wanted old san juan parking free 1st night , day 15 parking , spoke carrol man waxed eye-brows u doin , anyways audacity say heard parking free night 4 year , needless say boyfriend shenanigans hotel wanted break neck , arrogant treated lying , right wrong , removed , needless say seconds later guests arms , went timeshare presentation stayed hour wanted leave received 75 no trip , went day lady said forgot oh brother , chose hawaii florida hotel hawaii does not look good , recommendations antojitos carabali bar n grill rio grande area horseback riding stop mamayes river food great got ta , angus steak lobster tail 30 , old san juan castillo fort old harbor restaurant-osj , rent car day 1st day free parking expensive park hotel .i not recommend wyndham rio mar , stay check prepared pay especially taxi deal arrogant people ps , timewarner people chanting 7:30 morning , just guys did n't pay trip does not mean wake paying guests morning noise adios	1
dump , came florence clothing fair early january hotel highly recommended , paid high price booked months advance set great stay .when checked taken not charming lovely elegant-looking hotel flights stairs annexe , rooms walk shirt tie room , room dark gloomy cold awful long bathroom , shower step bidet .there trays dirty dishes old breakfasts outside door not complained moved equally cold unpleasant room annexe bathroom little better designed , paying 300 n't saying not bad room went main hotel breakfast staff gushing regulars newbies totally ignored , felt given second rate treatment paying rate price , ruined trip	1
not book hotel 5-6 months , arrived decribed building site , picked jaws ground asked builder going directed reception hard hats supplied place dangerously derelict downstairs hotel manager seat bag cement , manager explained refurbisments going reminded said no thing phone previous day order , went tell apartment available streets away voiced utter dissappointment travelling seven month old baby 4 adults tired took keys , apartment described follows:1 . flights stairs elevator .2 , baby buggy did not fit tiny lift person walk flights buggy .3 , padlocked kitchen door electrics faulty kitchen bounds , no way feed baby .4 , management quite aggressive instances went complain , 5 . given breakfast vouchers little cafe beneath hotel stand breakfast sit table incurr charge , managed muddle nights having purchased kettle make bottles , reason booked hotel roof terrece invisenged 5 wonderful evenings sipping wine taking breath taking views beautiful city offer , instead stuck ramshackle apartment described mediocre good day , did receieve night free way apology highly dissatisfactory	1
nice hotel stayed hotel 2 days 19 20 nov . location great connected raffles city big mall mrt station convenient room clean tidy , room 54th floor , fantastic view , select not dine hotel expensive restaurant/food stalls raffles city , breakfast expensive 40ss person , food just , general good hotel stay	5
amazing- wan na staff~ going ages 14-19 sooo fun staff ..food~ n't great edible french fries eat overall hotel clean people nice does n't matter old disco age 18 14 got just ahve watch guys come little storg just push away listen no clue people saying did n't fun time stayed 2 weeks started leaving recomend hotel	5
just awful really did n't think feel strongly write scathing review really disappointing start honeymoon here .the food hotel restaurant awful bad value cost 5 star hotel stayed way home room not clean , look wish complaint late , pool ok dated , generally bad value round .however say no reflection service annoyed gratuity added feel able make judgement , fantastic location just 8 lincoln road restaurants relief tasting food joined request scheme gave late check bonuses , n't truly awful 3 nights	1
lti family wife 2 daughters struggled flies meals , admit not winners b food dull not big deal risky spent day suffering diarrheaneed say	1
